X,Y,Z
4.478086,-0.1508077,-4.372488
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
8.64,0.33,-0.52
X,Y,Z
