Object Name,Position X,Position Y,Position Z
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,6.57,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,6.57,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,6.57,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,6.57,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,3.16,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,0.33,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,1.97,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,3.62,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,3.62,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,3.62,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
[Debug Updater],0,0,0
Main Camera,0,1,-10
Directional Light,0,3,0
Printer,7.58,-0.21,-4.39
Global Volume,0.127,0,0
Sphere,3.92,3.62,-3.68
Cube,0.84,0.18,-2.86
Plane,4.478086,-0.1508079,-4.372488
