Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:19.725
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:19.727
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:19.727
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:19.727
Sphere,3.92,0.33,-3.68,0,0,0,2024-05-03 12:18:19.727
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:19.727
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:19.727
Cursor,3.587882,0.1530141,-3.491338,0,0,0,2024-05-03 12:18:19.727
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:21.526
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:21.526
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:21.526
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:21.526
Sphere,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:21.526
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:21.526
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:21.526
Cursor,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:21.526
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:22.529
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:22.529
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:22.529
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:22.529
Sphere,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:22.529
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:22.529
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:22.529
Cursor,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:22.529
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:23.531
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:23.531
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:23.531
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:23.531
Sphere,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:23.531
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:23.531
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:23.531
Cursor,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:23.531
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:24.533
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:24.533
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:24.533
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:24.533
Sphere,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:24.533
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:24.533
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:24.533
Cursor,-0.0003552893,1.207278,-9.7,0,0,0,2024-05-03 12:18:24.533
[Debug Updater],0,0,0,0,0,0,2024-05-03 12:18:25.536
Main Camera,0,1,-10,0,0,0,2024-05-03 12:18:25.536
Directional Light,0,3,0,50,330,0,2024-05-03 12:18:25.536
Global Volume,0.127,0,0,0,0,0,2024-05-03 12:18:25.536
Sphere,0.03623979,1.215086,-9.7,0,0,0,2024-05-03 12:18:25.536
Cube,6.57,0.18,-2.86,0,0,0,2024-05-03 12:18:25.536
Plane,4.478086,-0.1508079,-4.372488,0,0,0,2024-05-03 12:18:25.536
Cursor,0.03623979,1.215086,-9.7,0,0,0,2024-05-03 12:18:25.536
