Object Name,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Timestamp
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:52.621
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:52.621
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:52.621
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:52.621
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:52.621
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:52.621
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:52.621
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:52.621
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:52.621
Cursor,-1.752118,-0.8469859,5.268662,0,0,0,2024-05-04 19:20:52.621
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:54.656
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:54.656
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:54.656
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:54.656
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:54.656
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:54.656
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:54.656
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:54.656
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:54.656
Cursor,-4.015205,-1.150808,1.975015,0,0,0,2024-05-04 19:20:54.656
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:55.661
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:55.661
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:55.661
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:55.661
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:55.661
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:55.661
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:55.661
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:55.661
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:55.661
Cursor,-4.883644,-1.150808,1.888581,0,0,0,2024-05-04 19:20:55.661
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:56.665
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:56.665
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:56.665
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:56.665
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:56.665
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:56.665
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:56.665
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:56.665
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:56.665
Cursor,-4.883644,-1.150808,1.888581,0,0,0,2024-05-04 19:20:56.665
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:57.666
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:57.666
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:57.666
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:57.666
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:57.666
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:57.666
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:57.666
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:57.666
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:57.666
Cursor,-4.883644,-1.150808,1.888581,0,0,0,2024-05-04 19:20:57.666
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:58.671
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:58.671
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:58.671
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:58.671
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:58.671
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:58.671
Sphere,-1.42,-0.67,5.08,0,0,0,2024-05-04 19:20:58.671
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:58.671
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:58.671
Cursor,-4.883644,-1.150808,1.888581,0,0,0,2024-05-04 19:20:58.671
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:20:59.678
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:20:59.678
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:20:59.678
Main Camera,0,0,0,0,0,0,2024-05-04 19:20:59.678
Directional Light,-5.34,2,8.76,50,330,0,2024-05-04 19:20:59.678
Global Volume,-5.213,-1,8.76,0,0,0,2024-05-04 19:20:59.678
Sphere,0.9400001,-0.67,5.08,0,0,0,2024-05-04 19:20:59.678
Cube,1.28,-0.82,5.900001,0,0,0,2024-05-04 19:20:59.678
Plane,-0.8619146,-1.150808,4.387512,0,0,0,2024-05-04 19:20:59.678
Cursor,-4.883644,-1.150808,1.888581,0,0,0,2024-05-04 19:20:59.678
[Debug Updater],-5.34,-1,8.76,0,0,0,2024-05-04 19:21:00.685
eye,-0.52,0.6869754,8.81,0,0,0,2024-05-04 19:21:00.685
Sphere (1),-5.34,0,-1.24,0,0,0,2024-05-04 19:21:00.685
