X,Y,Z
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.91,0.33,-3.68
7.91,0.33,-3.68
8.1,0.33,-3.68
8.1,0.33,-3.68
8.1,0.33,-3.68
8.1,0.33,-3.68

