Time, X, Y
0,424.5,242.5
0.02,396.5,231
0.0624336,396.5,231
0.0710517,396.5,231
0.0749148,396.5,231
0.0789811,396.5,231
0.0820286,396.5,231
0.0851212,396.5,231
0.0881818,396.5,231
0.0929886,396.5,231
0.0973463,396.5,231
0.1020675,396.5,231
0.1073352,396.5,231
0.1114968,396.5,231
0.115804,396.5,231
0.1204837,396.5,231
0.1243424,396.5,231
0.1292822,396.5,231
0.1339994,396.5,231
0.1386789,396.5,231
0.1424689,396.5,231
0.1460996,396.5,231
0.1491224,396.5,231
0.1524137,396.5,231
0.1566804,396.5,231
0.1616094,396.5,231
0.1649108,396.5,231
0.169483,396.5,231
0.172978,396.5,231
0.1783071,396.5,231
0.181554,396.5,231
0.1865425,396.5,231
0.1905938,396.5,231
0.1944269,396.5,231
0.1980156,396.5,231
0.2020161,396.5,231
0.2060958,396.5,231
0.2095883,396.5,231
0.215076,396.5,231
0.2194315,396.5,231
0.2225284,396.5,231
0.2266537,396.5,231
0.2302619,396.5,231
0.2345985,396.5,231
0.2385996,396.5,231
0.2441915,396.5,231
0.2471859,396.5,231
0.2520234,396.5,231
0.2556661,396.5,231
0.2596554,396.5,231
0.2694007,396.5,231
0.2728861,396.5,231
0.2764384,396.5,231
0.2806715,396.5,231
0.2858499,396.5,231
0.2945471,400,231
0.2986952,409.5,231
0.3033485,409.5,231
0.3067563,422.5,231
0.3101236,422.5,231
0.3139147,441,231
0.3175528,441,231
0.3227077,473.5,231
0.3273218,473.5,231
0.3317133,519.5,231
0.3357891,519.5,231
0.340555,563,231
0.3465549,622.5,231
0.3498696,622.5,231
0.3539033,682,231
0.3578695,682,231
0.362713,728,231
0.3659699,728,231
0.3702486,766.5,229
0.3742682,766.5,229
0.378451,784,226.5
0.3817174,784,226.5
0.3861394,795,225.5
0.3914028,795,225.5
0.3959266,798,225.5
0.3997962,798,225.5
0.4043506,798.5,225.5
0.4086528,798.5,225.5
0.4135106,798.5,225.5
0.4174399,798.5,225.5
0.4211821,798.5,225.5
0.4249748,798.5,225.5
0.4277481,798.5,225.5
0.4304981,798.5,225.5
0.4333665,798.5,225.5
0.4375112,798.5,225.5
0.4418708,798.5,225.5
0.4455931,798.5,225.5
0.4483191,798.5,225.5
0.4518454,798.5,225.5
0.4561836,798.5,225.5
0.4607613,798.5,225.5
0.4645283,798.5,225.5
0.469218,798.5,225.5
0.4744058,798.5,225.5
0.4782011,798.5,225.5
0.4820171,798.5,225.5
0.4850035,798.5,225.5
0.4881954,798.5,225.5
0.4929611,798,225
0.4970928,797.5,225
0.5020065,797.5,225
0.5058755,796,224
0.509736,796,224
0.5148083,794,222
0.5189812,794,222
0.5229197,791.5,221
0.5269132,791.5,221
0.5314016,787,217.5
0.5343628,787,217.5
0.5375915,781,213.5
0.541859,781,213.5
0.54644,775,209.5
0.5511518,775,209.5
0.5556688,765,203
0.5588755,765,203
0.5643606,758,196.5
0.5682217,758,196.5
0.5728813,749,191.5
0.5777447,739.5,184.5
0.5811424,739.5,184.5
0.5843069,739.5,184.5
0.5892226,732,180.5
0.5945453,719.5,175
0.5982595,719.5,175
0.6021844,705,167.5
0.6065507,705,167.5
0.6114422,684,155.5
0.6162738,684,155.5
0.619802,665.5,145.5
0.6225377,665.5,145.5
0.6271559,641.5,139.5
0.6318973,641.5,139.5
0.6369497,614.5,133.5
0.6418182,589.5,132
0.6459684,589.5,132
0.6511309,559.5,132
0.655439,559.5,132
0.6608761,521.5,132
0.6665175,489,132
0.6707378,489,132
0.6761457,449.5,136.5
0.6798616,449.5,136.5
0.684584,413,142
0.6911973,372.5,151
0.6956472,372.5,151
0.7013644,332,162
0.7065646,304.5,172
0.7108388,304.5,172
0.7160729,288,177
0.7201532,288,177
0.724757,272,186.5
0.7296486,262,193
0.7338672,262,193
0.7381784,260.5,195
0.7440024,260.5,195
0.7498542,259,198.5
0.7536324,259,204
0.7575635,259,204
0.7616692,259,212
0.7659712,259,212
0.7715953,260.5,221.5
0.7763187,260.5,221.5
0.781738,266.5,235.5
0.7859618,273,245.5
0.7896265,273,245.5
0.7952368,279.5,255.5
0.798591,279.5,255.5
0.8028011,292.5,269
0.8081412,292.5,269
0.8124741,308.5,287
0.8163958,308.5,287
0.820047,326,301.5
0.8241827,326,301.5
0.8291788,348.5,319
0.8347804,372.5,333.5
0.8378645,372.5,333.5
0.8426214,396.5,339.5
0.8470741,396.5,339.5
0.8526555,418.5,345.5
0.8581591,448.5,345.5
0.8634163,448.5,345.5
0.8685034,470,345.5
0.8720639,470,345.5
0.8754819,492,345.5
0.8787629,492,345.5
0.8823032,508,342
0.8869813,508,342
0.8920956,526.5,332.5
0.8953602,526.5,332.5
0.8988625,538.5,326.5
0.9026811,538.5,326.5
0.9074446,551.5,320
0.9107753,551.5,320
0.9162612,562.5,312
0.9204561,562.5,312
0.9259005,572.5,302
0.9292797,581.5,291.5
0.9333386,581.5,291.5
0.9386324,592,281.5
0.9426739,592,281.5
0.9481464,602.5,270
0.9516271,602.5,270
0.9553376,612.5,255.5
0.9589715,612.5,255.5
0.9632335,620.5,245.5
0.9678869,620.5,245.5
0.9714716,626,237
0.975853,626,237
0.9804715,633.5,228.5
0.9842193,633.5,228.5
0.9882661,641,221
0.9922766,641,221
0.9966765,647,214.5
0.9996545,647,214.5
1.004,653,210.5
1.008508,653,210.5
1.013697,661.5,206.5
1.01806,668.5,205.5
1.02297,668.5,205.5
1.028963,678,205.5
1.032201,678,205.5
1.038134,688.5,205.5
1.043333,699,205.5
1.046996,699,205.5
1.050541,710,205.5
1.053738,710,205.5
1.057854,721.5,205.5
1.063126,721.5,205.5
1.068107,737,208.5
1.072235,737,208.5
1.07678,749.5,214
1.08127,762,218.5
1.085735,762,218.5
1.090665,776.5,227
1.095876,776.5,227
1.100741,786.5,232.5
1.103803,786.5,232.5
1.108017,797.5,239.5
1.112134,797.5,239.5
1.116335,807.5,247
1.119082,807.5,247
1.123642,816.5,256
1.127633,816.5,256
1.132426,824,266
1.138119,829.5,276
1.14153,829.5,276
1.145875,834,287
1.149234,834,287
1.153218,835,293.5
1.157321,835,293.5
1.162118,838.5,303.5
1.165915,838.5,303.5
1.170742,838.5,309
1.174119,838.5,309
1.177292,838.5,317
1.180437,838.5,317
1.183571,838.5,317
1.186637,838.5,323.5
1.190407,838.5,323.5
1.194415,838.5,330.5
1.19837,838.5,330.5
1.202068,837,337.5
1.20541,837,337.5
1.209968,836,338.5
1.213472,836,338.5
1.218466,834.5,341
1.221679,834.5,341
1.225797,833,342.5
1.229568,833,342.5
1.233911,832,342.5
1.237737,832,342.5
1.242308,830.5,342.5
1.246238,830.5,342.5
1.251012,828.5,342.5
1.254421,828.5,342.5
1.259217,824.5,342.5
1.262842,824.5,342.5
1.26742,817.5,342.5
1.270758,817.5,342.5
1.275155,807,341.5
1.278348,807,341.5
1.282837,794.5,337.5
1.286902,794.5,337.5
1.29113,775,332
1.295023,775,332
1.300102,752.5,323
1.304015,752.5,323
1.308544,730,314
1.311789,730,314
1.315486,706.5,303
1.321463,678.5,291.5
1.325779,678.5,291.5
1.32976,653,282
1.333385,653,282
1.338481,627,269
1.34287,627,269
1.347316,599,257.5
1.351234,599,257.5
1.355966,570.5,244
1.361153,548.5,230
1.36524,548.5,230
1.369186,530,218.5
1.373693,530,218.5
1.377959,510.5,205
1.382132,510.5,205
1.386064,495.5,191.5
1.390186,495.5,191.5
1.394169,483,178.5
1.39829,483,178.5
1.402271,470,166
1.405447,470,166
1.410385,455.5,154
1.414429,455.5,154
1.419412,444.5,141.5
1.423613,444.5,141.5
1.428151,435.5,134
1.431852,435.5,134
1.436592,426.5,122.5
1.439827,426.5,122.5
1.444366,416.5,114.5
1.449367,410,108.5
1.45355,410,108.5
1.458304,403,102
1.46234,403,102
1.466651,395.5,97
1.470703,395.5,97
1.475403,388.5,94
1.479835,388.5,94
1.484376,385,93
1.489555,380.5,91
1.493447,380.5,91
1.497918,375,90.5
1.501517,375,90.5
1.505971,372,89.5
1.509264,372,89.5
1.51364,365,88.5
1.517203,365,88.5
1.521296,362,88.5
1.525563,362,88.5
1.529602,356,89
1.533013,356,89
1.536078,356,89
1.539952,351.5,90.5
1.543804,351.5,90.5
1.548295,344,94
1.552162,344,94
1.556232,339.5,96.5
1.560104,339.5,96.5
1.5646,337,99
1.569054,335.5,103.5
1.573027,335.5,103.5
1.577655,334.5,107.5
1.581544,334.5,107.5
1.586642,332.5,117.5
1.589972,332.5,117.5
1.593641,332.5,128
1.597337,332.5,128
1.601862,332.5,134.5
1.605673,332.5,134.5
1.609571,333,149.5
1.613208,333,149.5
1.617336,335.5,162.5
1.621397,335.5,162.5
1.62628,340,178.5
1.630044,340,178.5
1.634001,352,199.5
1.637823,352,199.5
1.642478,363,223
1.646519,363,223
1.650246,379,254.5
1.653731,379,254.5
1.657947,393,278.5
1.662129,393,278.5
1.66636,409.5,303
1.670068,409.5,303
1.675169,427.5,319
1.679182,427.5,319
1.683754,449,333
1.687937,449,333
1.692705,473,347.5
1.697463,509,360
1.702349,509,360
1.706768,555,373.5
1.710384,555,373.5
1.714936,596.5,377
1.719274,596.5,377
1.72395,643,379
